evidence_category,scenario,checker,status,first_mismatch
rtl_litmus_herd,CO-RR:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:4,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:5,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:6,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:7,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:8,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:9,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:10,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:11,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:12,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:13,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:14,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:15,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:16,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:17,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:18,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:19,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:20,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:21,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:22,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:23,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:24,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:2,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:4,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:5,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:6,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:7,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:8,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:9,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:10,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:11,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:12,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:13,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:14,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:15,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:16,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:17,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:18,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:19,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:20,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:21,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:22,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:23,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR_FENCE:24,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:2,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:4,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:5,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:6,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:7,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:8,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:9,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:10,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:11,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:12,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:13,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:14,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:15,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:16,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:17,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:18,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:19,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:20,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:21,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:22,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:23,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW:24,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW_FENCE:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW_FENCE:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW_FENCE:2,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW_FENCE:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-WW_FENCE:4,RTL+coherence_model+exact_herd7,PASS,none
