backpressure_percent,kind,id,latency_cycles,error,trace
75,dirty-miss,46,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,47,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,48,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,49,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,50,21,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,51,23,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,52,26,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,53,21,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,54,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,55,26,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,56,42,0,build/verilator/traces/performance_bp_75.csv
75,hit,57,2,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,58,42,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,59,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,60,40,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,61,26,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,62,23,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,63,21,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,64,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,65,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,66,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,67,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,68,40,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,69,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,70,23,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,71,26,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,72,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,73,26,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,74,26,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,75,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,76,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,77,40,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,78,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,79,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,80,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,81,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,82,21,0,build/verilator/traces/performance_bp_75.csv
75,hit,83,2,0,build/verilator/traces/performance_bp_75.csv
75,hit,84,2,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,85,20,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,86,45,0,build/verilator/traces/performance_bp_75.csv
75,hit,87,2,0,build/verilator/traces/performance_bp_75.csv
